country,iso3,who_region,who_region_long,reference_date,date_type,cases
Sri Lanka,LKA,SEARO,South-East Asia Region,2022-10-18,Onset,1
Sri Lanka,LKA,SEARO,South-East Asia Region,2022-11-03,Onset,1
