country,iso3,who_region,who_region_long,reference_date,date_type,cases
Peru,PER,AMRO,Region of the Americas,2022-09-21,Onset,25
Peru,PER,AMRO,Region of the Americas,2022-09-22,Onset,29
Peru,PER,AMRO,Region of the Americas,2022-09-23,Onset,16
Peru,PER,AMRO,Region of the Americas,2022-09-24,Onset,24
Peru,PER,AMRO,Region of the Americas,2022-09-25,Onset,27
Peru,PER,AMRO,Region of the Americas,2022-09-26,Onset,27
Peru,PER,AMRO,Region of the Americas,2022-09-27,Onset,25
Peru,PER,AMRO,Region of the Americas,2022-09-28,Onset,15
Peru,PER,AMRO,Region of the Americas,2022-09-29,Onset,13
Peru,PER,AMRO,Region of the Americas,2022-09-30,Onset,19
Peru,PER,AMRO,Region of the Americas,2022-10-01,Onset,27
Peru,PER,AMRO,Region of the Americas,2022-10-02,Onset,25
Peru,PER,AMRO,Region of the Americas,2022-10-03,Onset,20
Peru,PER,AMRO,Region of the Americas,2022-10-04,Onset,21
Peru,PER,AMRO,Region of the Americas,2022-10-05,Onset,20
Peru,PER,AMRO,Region of the Americas,2022-10-06,Onset,21
Peru,PER,AMRO,Region of the Americas,2022-10-07,Onset,20
Peru,PER,AMRO,Region of the Americas,2022-10-08,Onset,24
Peru,PER,AMRO,Region of the Americas,2022-10-09,Onset,18
Peru,PER,AMRO,Region of the Americas,2022-10-10,Onset,30
Peru,PER,AMRO,Region of the Americas,2022-10-11,Onset,17
Peru,PER,AMRO,Region of the Americas,2022-10-12,Onset,14
Peru,PER,AMRO,Region of the Americas,2022-10-13,Onset,12
Peru,PER,AMRO,Region of the Americas,2022-10-14,Onset,21
Peru,PER,AMRO,Region of the Americas,2022-10-15,Onset,25
Peru,PER,AMRO,Region of the Americas,2022-10-16,Onset,23
Peru,PER,AMRO,Region of the Americas,2022-10-17,Onset,19
Peru,PER,AMRO,Region of the Americas,2022-10-18,Onset,10
Peru,PER,AMRO,Region of the Americas,2022-10-19,Onset,10
Peru,PER,AMRO,Region of the Americas,2022-10-20,Onset,28
Peru,PER,AMRO,Region of the Americas,2022-10-21,Onset,15
Peru,PER,AMRO,Region of the Americas,2022-10-22,Onset,18
Peru,PER,AMRO,Region of the Americas,2022-10-23,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-10-24,Onset,11
Peru,PER,AMRO,Region of the Americas,2022-10-25,Onset,16
Peru,PER,AMRO,Region of the Americas,2022-10-26,Onset,14
Peru,PER,AMRO,Region of the Americas,2022-10-27,Onset,7
Peru,PER,AMRO,Region of the Americas,2022-10-28,Onset,11
Peru,PER,AMRO,Region of the Americas,2022-10-29,Onset,8
Peru,PER,AMRO,Region of the Americas,2022-10-30,Onset,7
Peru,PER,AMRO,Region of the Americas,2022-10-31,Onset,15
Peru,PER,AMRO,Region of the Americas,2022-11-01,Onset,22
Peru,PER,AMRO,Region of the Americas,2022-11-02,Onset,12
Peru,PER,AMRO,Region of the Americas,2022-11-03,Onset,15
Peru,PER,AMRO,Region of the Americas,2022-11-04,Onset,13
Peru,PER,AMRO,Region of the Americas,2022-11-05,Onset,12
Peru,PER,AMRO,Region of the Americas,2022-11-06,Onset,10
Peru,PER,AMRO,Region of the Americas,2022-11-07,Onset,11
Peru,PER,AMRO,Region of the Americas,2022-11-08,Onset,11
Peru,PER,AMRO,Region of the Americas,2022-11-09,Onset,17
Peru,PER,AMRO,Region of the Americas,2022-11-10,Onset,9
Peru,PER,AMRO,Region of the Americas,2022-11-11,Onset,13
Peru,PER,AMRO,Region of the Americas,2022-11-12,Onset,7
Peru,PER,AMRO,Region of the Americas,2022-11-13,Onset,9
Peru,PER,AMRO,Region of the Americas,2022-11-14,Onset,8
Peru,PER,AMRO,Region of the Americas,2022-11-15,Onset,9
Peru,PER,AMRO,Region of the Americas,2022-11-16,Onset,10
Peru,PER,AMRO,Region of the Americas,2022-11-17,Onset,7
Peru,PER,AMRO,Region of the Americas,2022-11-18,Onset,5
Peru,PER,AMRO,Region of the Americas,2022-11-19,Onset,10
Peru,PER,AMRO,Region of the Americas,2022-11-20,Onset,11
Peru,PER,AMRO,Region of the Americas,2022-11-21,Onset,10
Peru,PER,AMRO,Region of the Americas,2022-11-22,Onset,4
Peru,PER,AMRO,Region of the Americas,2022-11-23,Onset,10
Peru,PER,AMRO,Region of the Americas,2022-11-24,Onset,7
Peru,PER,AMRO,Region of the Americas,2022-11-25,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-11-26,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-11-27,Onset,6
Peru,PER,AMRO,Region of the Americas,2022-11-28,Onset,4
Peru,PER,AMRO,Region of the Americas,2022-11-29,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-11-30,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-12-01,Onset,6
Peru,PER,AMRO,Region of the Americas,2022-12-02,Onset,1
Peru,PER,AMRO,Region of the Americas,2022-12-03,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-12-04,Onset,3
Peru,PER,AMRO,Region of the Americas,2022-12-05,Onset,4
Peru,PER,AMRO,Region of the Americas,2022-12-07,Onset,2
Peru,PER,AMRO,Region of the Americas,2022-12-08,Onset,1
Peru,PER,AMRO,Region of the Americas,2022-12-10,Onset,1
Peru,PER,AMRO,Region of the Americas,2022-12-11,Onset,1
