country,iso3,who_region,who_region_long,reference_date,date_type,cases
Brazil,BRA,AMRO,Region of the Americas,2022-08-16,Diagnosis,2
Brazil,BRA,AMRO,Region of the Americas,2022-08-16,Reported,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-16,Onset,96
Brazil,BRA,AMRO,Region of the Americas,2022-08-17,Onset,108
Brazil,BRA,AMRO,Region of the Americas,2022-08-18,Diagnosis,2
Brazil,BRA,AMRO,Region of the Americas,2022-08-18,Onset,125
Brazil,BRA,AMRO,Region of the Americas,2022-08-19,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-19,Reported,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-19,Onset,110
Brazil,BRA,AMRO,Region of the Americas,2022-08-20,Onset,132
Brazil,BRA,AMRO,Region of the Americas,2022-08-21,Onset,111
Brazil,BRA,AMRO,Region of the Americas,2022-08-22,Onset,106
Brazil,BRA,AMRO,Region of the Americas,2022-08-23,Onset,94
Brazil,BRA,AMRO,Region of the Americas,2022-08-24,Onset,112
Brazil,BRA,AMRO,Region of the Americas,2022-08-25,Onset,105
Brazil,BRA,AMRO,Region of the Americas,2022-08-26,Onset,91
Brazil,BRA,AMRO,Region of the Americas,2022-08-27,Onset,76
Brazil,BRA,AMRO,Region of the Americas,2022-08-28,Onset,87
Brazil,BRA,AMRO,Region of the Americas,2022-08-29,Diagnosis,2
Brazil,BRA,AMRO,Region of the Americas,2022-08-29,Onset,107
Brazil,BRA,AMRO,Region of the Americas,2022-08-30,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-08-30,Onset,79
Brazil,BRA,AMRO,Region of the Americas,2022-08-31,Onset,72
Brazil,BRA,AMRO,Region of the Americas,2022-09-01,Onset,116
Brazil,BRA,AMRO,Region of the Americas,2022-09-02,Onset,92
Brazil,BRA,AMRO,Region of the Americas,2022-09-03,Onset,71
Brazil,BRA,AMRO,Region of the Americas,2022-09-04,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-04,Onset,78
Brazil,BRA,AMRO,Region of the Americas,2022-09-05,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-05,Onset,100
Brazil,BRA,AMRO,Region of the Americas,2022-09-06,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-06,Onset,82
Brazil,BRA,AMRO,Region of the Americas,2022-09-07,Onset,84
Brazil,BRA,AMRO,Region of the Americas,2022-09-08,Onset,85
Brazil,BRA,AMRO,Region of the Americas,2022-09-09,Onset,95
Brazil,BRA,AMRO,Region of the Americas,2022-09-10,Onset,74
Brazil,BRA,AMRO,Region of the Americas,2022-09-11,Onset,56
Brazil,BRA,AMRO,Region of the Americas,2022-09-12,Onset,90
Brazil,BRA,AMRO,Region of the Americas,2022-09-13,Onset,69
Brazil,BRA,AMRO,Region of the Americas,2022-09-14,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-14,Onset,63
Brazil,BRA,AMRO,Region of the Americas,2022-09-15,Onset,83
Brazil,BRA,AMRO,Region of the Americas,2022-09-16,Onset,65
Brazil,BRA,AMRO,Region of the Americas,2022-09-17,Onset,53
Brazil,BRA,AMRO,Region of the Americas,2022-09-18,Onset,62
Brazil,BRA,AMRO,Region of the Americas,2022-09-19,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-19,Onset,70
Brazil,BRA,AMRO,Region of the Americas,2022-09-20,Onset,68
Brazil,BRA,AMRO,Region of the Americas,2022-09-21,Onset,56
Brazil,BRA,AMRO,Region of the Americas,2022-09-22,Onset,50
Brazil,BRA,AMRO,Region of the Americas,2022-09-23,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-23,Onset,63
Brazil,BRA,AMRO,Region of the Americas,2022-09-24,Onset,49
Brazil,BRA,AMRO,Region of the Americas,2022-09-25,Onset,59
Brazil,BRA,AMRO,Region of the Americas,2022-09-26,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-26,Onset,47
Brazil,BRA,AMRO,Region of the Americas,2022-09-27,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-09-27,Onset,39
Brazil,BRA,AMRO,Region of the Americas,2022-09-28,Onset,49
Brazil,BRA,AMRO,Region of the Americas,2022-09-29,Onset,42
Brazil,BRA,AMRO,Region of the Americas,2022-09-30,Diagnosis,2
Brazil,BRA,AMRO,Region of the Americas,2022-09-30,Onset,54
Brazil,BRA,AMRO,Region of the Americas,2022-10-01,Onset,39
Brazil,BRA,AMRO,Region of the Americas,2022-10-02,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-10-02,Onset,35
Brazil,BRA,AMRO,Region of the Americas,2022-10-03,Onset,48
Brazil,BRA,AMRO,Region of the Americas,2022-10-04,Onset,39
Brazil,BRA,AMRO,Region of the Americas,2022-10-05,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-10-05,Onset,35
Brazil,BRA,AMRO,Region of the Americas,2022-10-06,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-10-06,Onset,26
Brazil,BRA,AMRO,Region of the Americas,2022-10-07,Onset,35
Brazil,BRA,AMRO,Region of the Americas,2022-10-08,Onset,34
Brazil,BRA,AMRO,Region of the Americas,2022-10-09,Onset,32
Brazil,BRA,AMRO,Region of the Americas,2022-10-10,Onset,45
Brazil,BRA,AMRO,Region of the Americas,2022-10-11,Onset,23
Brazil,BRA,AMRO,Region of the Americas,2022-10-12,Onset,36
Brazil,BRA,AMRO,Region of the Americas,2022-10-13,Onset,25
Brazil,BRA,AMRO,Region of the Americas,2022-10-14,Onset,33
Brazil,BRA,AMRO,Region of the Americas,2022-10-15,Onset,33
Brazil,BRA,AMRO,Region of the Americas,2022-10-16,Onset,25
Brazil,BRA,AMRO,Region of the Americas,2022-10-17,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-10-17,Onset,34
Brazil,BRA,AMRO,Region of the Americas,2022-10-18,Onset,17
Brazil,BRA,AMRO,Region of the Americas,2022-10-19,Onset,26
Brazil,BRA,AMRO,Region of the Americas,2022-10-20,Onset,30
Brazil,BRA,AMRO,Region of the Americas,2022-10-21,Onset,30
Brazil,BRA,AMRO,Region of the Americas,2022-10-22,Onset,28
Brazil,BRA,AMRO,Region of the Americas,2022-10-23,Onset,26
Brazil,BRA,AMRO,Region of the Americas,2022-10-24,Onset,42
Brazil,BRA,AMRO,Region of the Americas,2022-10-25,Onset,25
Brazil,BRA,AMRO,Region of the Americas,2022-10-26,Onset,17
Brazil,BRA,AMRO,Region of the Americas,2022-10-27,Onset,22
Brazil,BRA,AMRO,Region of the Americas,2022-10-28,Onset,21
Brazil,BRA,AMRO,Region of the Americas,2022-10-29,Onset,15
Brazil,BRA,AMRO,Region of the Americas,2022-10-30,Onset,15
Brazil,BRA,AMRO,Region of the Americas,2022-10-31,Onset,11
Brazil,BRA,AMRO,Region of the Americas,2022-11-01,Onset,21
Brazil,BRA,AMRO,Region of the Americas,2022-11-02,Onset,17
Brazil,BRA,AMRO,Region of the Americas,2022-11-03,Onset,25
Brazil,BRA,AMRO,Region of the Americas,2022-11-04,Onset,25
Brazil,BRA,AMRO,Region of the Americas,2022-11-05,Onset,14
Brazil,BRA,AMRO,Region of the Americas,2022-11-06,Onset,17
Brazil,BRA,AMRO,Region of the Americas,2022-11-07,Onset,23
Brazil,BRA,AMRO,Region of the Americas,2022-11-08,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2022-11-09,Onset,13
Brazil,BRA,AMRO,Region of the Americas,2022-11-10,Onset,16
Brazil,BRA,AMRO,Region of the Americas,2022-11-11,Onset,18
Brazil,BRA,AMRO,Region of the Americas,2022-11-12,Onset,15
Brazil,BRA,AMRO,Region of the Americas,2022-11-13,Onset,14
Brazil,BRA,AMRO,Region of the Americas,2022-11-14,Onset,19
Brazil,BRA,AMRO,Region of the Americas,2022-11-15,Onset,12
Brazil,BRA,AMRO,Region of the Americas,2022-11-16,Onset,16
Brazil,BRA,AMRO,Region of the Americas,2022-11-17,Onset,14
Brazil,BRA,AMRO,Region of the Americas,2022-11-18,Onset,21
Brazil,BRA,AMRO,Region of the Americas,2022-11-19,Onset,18
Brazil,BRA,AMRO,Region of the Americas,2022-11-20,Onset,13
Brazil,BRA,AMRO,Region of the Americas,2022-11-21,Onset,16
Brazil,BRA,AMRO,Region of the Americas,2022-11-22,Onset,13
Brazil,BRA,AMRO,Region of the Americas,2022-11-23,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2022-11-24,Onset,18
Brazil,BRA,AMRO,Region of the Americas,2022-11-25,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-11-25,Onset,18
Brazil,BRA,AMRO,Region of the Americas,2022-11-26,Onset,15
Brazil,BRA,AMRO,Region of the Americas,2022-11-27,Onset,11
Brazil,BRA,AMRO,Region of the Americas,2022-11-28,Onset,11
Brazil,BRA,AMRO,Region of the Americas,2022-11-29,Diagnosis,2
Brazil,BRA,AMRO,Region of the Americas,2022-11-29,Onset,10
Brazil,BRA,AMRO,Region of the Americas,2022-11-30,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2022-12-01,Onset,10
Brazil,BRA,AMRO,Region of the Americas,2022-12-02,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-12-02,Onset,11
Brazil,BRA,AMRO,Region of the Americas,2022-12-03,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2022-12-04,Onset,12
Brazil,BRA,AMRO,Region of the Americas,2022-12-05,Onset,23
Brazil,BRA,AMRO,Region of the Americas,2022-12-06,Onset,17
Brazil,BRA,AMRO,Region of the Americas,2022-12-07,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-12-07,Onset,13
Brazil,BRA,AMRO,Region of the Americas,2022-12-08,Onset,13
Brazil,BRA,AMRO,Region of the Americas,2022-12-09,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2022-12-10,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2022-12-11,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2022-12-12,Onset,13
Brazil,BRA,AMRO,Region of the Americas,2022-12-13,Onset,7
Brazil,BRA,AMRO,Region of the Americas,2022-12-14,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2022-12-15,Diagnosis,1
Brazil,BRA,AMRO,Region of the Americas,2022-12-15,Onset,9
Brazil,BRA,AMRO,Region of the Americas,2022-12-16,Onset,8
Brazil,BRA,AMRO,Region of the Americas,2022-12-17,Onset,7
Brazil,BRA,AMRO,Region of the Americas,2022-12-18,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2022-12-19,Onset,14
Brazil,BRA,AMRO,Region of the Americas,2022-12-20,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2022-12-21,Onset,7
Brazil,BRA,AMRO,Region of the Americas,2022-12-22,Onset,8
Brazil,BRA,AMRO,Region of the Americas,2022-12-23,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2022-12-24,Onset,4
Brazil,BRA,AMRO,Region of the Americas,2022-12-25,Onset,5
Brazil,BRA,AMRO,Region of the Americas,2022-12-26,Onset,6
Brazil,BRA,AMRO,Region of the Americas,2022-12-27,Onset,3
