country,iso3,who_region,who_region_long,reference_date,date_type,cases
Guatemala,GTM,AMRO,Region of the Americas,2022-12-01,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-12-02,Onset,4
Guatemala,GTM,AMRO,Region of the Americas,2022-12-03,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-12-04,Onset,5
Guatemala,GTM,AMRO,Region of the Americas,2022-12-05,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-12-06,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-12-07,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-12-08,Onset,6
Guatemala,GTM,AMRO,Region of the Americas,2022-12-10,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-12-11,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-12-12,Onset,8
Guatemala,GTM,AMRO,Region of the Americas,2022-12-13,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-12-14,Onset,4
Guatemala,GTM,AMRO,Region of the Americas,2022-12-15,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-12-16,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-12-17,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-12-18,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-12-19,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-12-20,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-12-21,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-12-22,Onset,4
Guatemala,GTM,AMRO,Region of the Americas,2022-12-23,Onset,8
Guatemala,GTM,AMRO,Region of the Americas,2022-12-24,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-12-25,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-12-26,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2022-12-27,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2022-12-28,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-12-30,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2022-12-31,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-01,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-01-02,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2023-01-03,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2023-01-04,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-01-05,Onset,6
Guatemala,GTM,AMRO,Region of the Americas,2023-01-06,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2023-01-07,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-08,Onset,5
Guatemala,GTM,AMRO,Region of the Americas,2023-01-09,Onset,5
Guatemala,GTM,AMRO,Region of the Americas,2023-01-10,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2023-01-11,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-12,Onset,4
Guatemala,GTM,AMRO,Region of the Americas,2023-01-13,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-15,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-01-16,Onset,5
Guatemala,GTM,AMRO,Region of the Americas,2023-01-17,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-01-18,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-01-19,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-01-20,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-21,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-22,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-23,Onset,4
Guatemala,GTM,AMRO,Region of the Americas,2023-01-24,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-26,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-27,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-01-28,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-01-29,Onset,4
Guatemala,GTM,AMRO,Region of the Americas,2023-01-30,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-02-02,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-02-03,Onset,3
Guatemala,GTM,AMRO,Region of the Americas,2023-02-04,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-02-05,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-02-06,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-02-09,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-02-10,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-02-11,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-02-12,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-02-13,Onset,2
Guatemala,GTM,AMRO,Region of the Americas,2023-02-17,Onset,1
Guatemala,GTM,AMRO,Region of the Americas,2023-02-19,Onset,1
