country,iso3,who_region,who_region_long,reference_date,date_type,cases
Spain,ESP,EURO,European Region,2022-04-26,Onset,1
Spain,ESP,EURO,European Region,2022-04-27,Onset,1
Spain,ESP,EURO,European Region,2022-05-01,Onset,1
Spain,ESP,EURO,European Region,2022-05-02,Onset,1
Spain,ESP,EURO,European Region,2022-05-03,Onset,1
Spain,ESP,EURO,European Region,2022-05-04,Onset,2
Spain,ESP,EURO,European Region,2022-05-05,Onset,2
Spain,ESP,EURO,European Region,2022-05-06,Onset,4
Spain,ESP,EURO,European Region,2022-05-07,Onset,2
Spain,ESP,EURO,European Region,2022-05-08,Onset,2
Spain,ESP,EURO,European Region,2022-05-09,Onset,6
Spain,ESP,EURO,European Region,2022-05-10,Onset,6
Spain,ESP,EURO,European Region,2022-05-11,Onset,7
Spain,ESP,EURO,European Region,2022-05-12,Onset,10
Spain,ESP,EURO,European Region,2022-05-13,Onset,7
Spain,ESP,EURO,European Region,2022-05-14,Onset,4
Spain,ESP,EURO,European Region,2022-05-15,Onset,11
Spain,ESP,EURO,European Region,2022-05-16,Onset,13
Spain,ESP,EURO,European Region,2022-05-17,Onset,10
Spain,ESP,EURO,European Region,2022-05-18,Onset,8
Spain,ESP,EURO,European Region,2022-05-19,Onset,19
Spain,ESP,EURO,European Region,2022-05-20,Onset,12
Spain,ESP,EURO,European Region,2022-05-21,Onset,16
Spain,ESP,EURO,European Region,2022-05-22,Onset,20
Spain,ESP,EURO,European Region,2022-05-23,Onset,17
Spain,ESP,EURO,European Region,2022-05-24,Diagnosis,1
Spain,ESP,EURO,European Region,2022-05-24,Onset,13
Spain,ESP,EURO,European Region,2022-05-25,Onset,26
Spain,ESP,EURO,European Region,2022-05-26,Onset,10
Spain,ESP,EURO,European Region,2022-05-27,Diagnosis,1
Spain,ESP,EURO,European Region,2022-05-27,Onset,15
Spain,ESP,EURO,European Region,2022-05-28,Onset,18
Spain,ESP,EURO,European Region,2022-05-29,Onset,15
Spain,ESP,EURO,European Region,2022-05-30,Onset,27
Spain,ESP,EURO,European Region,2022-05-31,Diagnosis,1
Spain,ESP,EURO,European Region,2022-05-31,Onset,35
Spain,ESP,EURO,European Region,2022-06-01,Onset,47
Spain,ESP,EURO,European Region,2022-06-02,Onset,31
Spain,ESP,EURO,European Region,2022-06-03,Diagnosis,1
Spain,ESP,EURO,European Region,2022-06-03,Onset,41
Spain,ESP,EURO,European Region,2022-06-04,Onset,26
Spain,ESP,EURO,European Region,2022-06-05,Onset,34
Spain,ESP,EURO,European Region,2022-06-06,Onset,43
Spain,ESP,EURO,European Region,2022-06-07,Onset,42
Spain,ESP,EURO,European Region,2022-06-08,Onset,46
Spain,ESP,EURO,European Region,2022-06-09,Diagnosis,1
Spain,ESP,EURO,European Region,2022-06-09,Onset,44
Spain,ESP,EURO,European Region,2022-06-10,Onset,54
Spain,ESP,EURO,European Region,2022-06-11,Onset,51
Spain,ESP,EURO,European Region,2022-06-12,Onset,64
Spain,ESP,EURO,European Region,2022-06-13,Diagnosis,3
Spain,ESP,EURO,European Region,2022-06-13,Onset,78
Spain,ESP,EURO,European Region,2022-06-14,Diagnosis,1
Spain,ESP,EURO,European Region,2022-06-14,Onset,47
Spain,ESP,EURO,European Region,2022-06-15,Onset,59
Spain,ESP,EURO,European Region,2022-06-16,Onset,68
Spain,ESP,EURO,European Region,2022-06-17,Onset,76
Spain,ESP,EURO,European Region,2022-06-18,Onset,71
Spain,ESP,EURO,European Region,2022-06-19,Onset,76
Spain,ESP,EURO,European Region,2022-06-20,Diagnosis,2
Spain,ESP,EURO,European Region,2022-06-20,Onset,95
Spain,ESP,EURO,European Region,2022-06-21,Reported,1
Spain,ESP,EURO,European Region,2022-06-21,Onset,87
