country,iso3,who_region,who_region_long,reference_date,date_type,cases
Liberia,LBR,AFRO,African Region,2022-07-11,Onset,1
Liberia,LBR,AFRO,African Region,2022-07-22,Onset,1
Liberia,LBR,AFRO,African Region,2022-07-30,Onset,1
Liberia,LBR,AFRO,African Region,2022-11-17,Onset,1
