country,iso3,who_region,who_region_long,reference_date,date_type,cases
Chile,CHL,AMRO,Region of the Americas,2023-01-01,Onset,6
Chile,CHL,AMRO,Region of the Americas,2023-01-02,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-04,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-08,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-10,Onset,2
Chile,CHL,AMRO,Region of the Americas,2023-01-12,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-13,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-16,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-17,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-18,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-19,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-20,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-22,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-23,Onset,3
Chile,CHL,AMRO,Region of the Americas,2023-01-24,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-25,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-27,Onset,2
Chile,CHL,AMRO,Region of the Americas,2023-01-29,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-01-31,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-02-03,Onset,1
Chile,CHL,AMRO,Region of the Americas,2023-02-05,Onset,2
Chile,CHL,AMRO,Region of the Americas,2023-02-08,Onset,1
